Title,Rank,"Star Rating",Poster,Rating,"Release Date",Runtime,Category,Genre,Summary,ID
"The Shawshank Redemption",1,9.4,images/ShawshankRedemptionCover.jpg,R,"15 October 1999","2h 55min","Top Crime",Drama,"Two imprisoned men bond over a number of years, finding solace 
    and eventual redemption through acts of common decency.",0
"The Godfather",2,9.9,images/TheGodFatherCover.jpg,R,"24 March 1972","2h 55min","Top Rated",Crime,"            An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.",1
"The GodFather: Part II",3,9.0,"images/TheGodFather2Cover.jpg""""",R,"18 December 1974","3h 22min","Top Rated",Crime,"The early life and career of Vito Corleone in 1920s New York City is 
    portrayed, while his son, Michael, expands and tightens his grip on the family crime 
    syndicate.",2
"The Dark Knight",4,9.0,images/TheDarkKnightCover.jpg,PG-13,"18 July 2008","2h 32min","Top Rated",Action,"                           When the menace known as the Joker wreaks havoc and chaos on
    the people of Gotham, Batman must accept one of the greatest psychological 
    and physical tests of his ability to fight injustice.
            ",3
"12 Angry Men",5,8.9,"images/12AngryMenPoster.jpg""""",Approved,"4 February 1994","1h 36m","Top Rated",Crime,"A jury holdout attempts to prevent a miscarriage of justice by
     forcing his colleagues to reconsider the evidence.",4
"Schindlers List",6,8.9,"images/SchindlersListCover.jpg""""",R,"14 October 1994","3h 15m","Top Rated",Biography,"In German-occupied Poland during World War II, industrialist 
    Oskar Schindler gradually becomes concerned for his Jewish workforce after
     witnessing their persecution by the Nazis.",5
"The Lord of the Rings: The Return of the King",7,8.9,"images/TheLordOfTheRingsCover.jpg""""",R,"17 December 2003","3h 21m","Top Rated",Action,"Gandalf and Aragorn lead the World of Men against Sauron's army 
    to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",6
"The Matrix",8,8.8,images/MatrixPoster.jpg,R,"15 October 1999 ","2h 32min","Top Rated",Action,"      When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence. He then figures out the truth.    ",7
"The Good, The Bad and The Ugly",9,8.8,"images/TheGoodTheBadCover.jpg""""",R,"29 December 1967","2h 58m","Top Rated",Western,"A bounty hunting scam joins two men in an uneasy alliance 
    against a third in a race to find a fortune in gold buried in a remote cemetery.",8
"The Lord of The Rings: The Fellowship of the Ring",10,8.8,"images/FellowShipCover.jpg"""" ",PG-13,"19 December 2001","2h 58min","Top Rated",Action,"A meek Hobbit from the Shire and eight companions set out on a 
    journey to destroy the powerful One Ring and save Middle-earth from the 
    Dark Lord Sauron.",9
"Forrest Gump",11,8.8,images/ForrestGumpCover.jpg,PG-13,"7 July 1994","2h 32min","Top Rated",Drama,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.            ",10
"Fight Club",11,8.8,images/FightClubCover.jpg,R,"15 October 1999","2h 19min","Top Rated",Drama,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",11
